,submitter_title,date,submitter_name,reviewer_name,reviewer_orcid,sim,count
93,E = MC3: Managing Uncertain Enterprise Data in a Cluster-Computing Environment,20200116,Fei Xu,Stratos Idreos,1234,0.08048240544725077,0
94,E = MC3: Managing Uncertain Enterprise Data in a Cluster-Computing Environment,20200116,Fei Xu,Christophe Claramunt,783,0.11554054054054053,0
95,E = MC3: Managing Uncertain Enterprise Data in a Cluster-Computing Environment,20200116,Fei Xu,Xiaodong Li,1308,0.07832594463128473,0
96,Business-Intelligence Queries with Order Dependencies in DB2,20200117,Jaroslaw Szlichta,Cristian Consonni,789,0.08040935672514621,0
97,Business-Intelligence Queries with Order Dependencies in DB2,20200117,Jaroslaw Szlichta,Hoang Vu Nguyen,907,0.07832594463128473,0
98,Business-Intelligence Queries with Order Dependencies in DB2,20200117,Jaroslaw Szlichta,Inah Jeon,922,0.08040935672514621,0
99,Business-Intelligence Queries with Order Dependencies in DB2,20200117,Jaroslaw Szlichta,Jinbao Wang,959,0.11861504307305325,0
100,Business-Intelligence Queries with Order Dependencies in DB2,20200117,Jaroslaw Szlichta,Victor Alvarez,1277,0.07832594463128473,0
101,Business-Intelligence Queries with Order Dependencies in DB2,20200117,Jaroslaw Szlichta,Akon Dey,694,0.15974069235137256,0
102,Detecting Database File Tampering through Page Carving,20200118,James Wagner,Jinbao Wang,959,0.15555555555555556,0
103,Detecting Database File Tampering through Page Carving,20200118,James Wagner,Yu Li,1348,0.15555555555555556,0
104,Detecting Database File Tampering through Page Carving,20200118,James Wagner,Lu Chen,1029,0.15555555555555556,0
105,Detecting Database File Tampering through Page Carving,20200118,James Wagner,Per-Ake Larson,1140,0.15974069235137256,0
106,Detecting Database File Tampering through Page Carving,20200118,James Wagner,Renata Borovica-Gajic,1180,0.11861504307305325,0
107,Detecting Database File Tampering through Page Carving,20200118,James Wagner,Ioannis Koltsidas,924,0.11554054054054053,0
108,Track Join: Distributed Joins with Minimal Network Traffic,20200119,Orestis Polychroniou,Petko Bakalov,1146,0.15555555555555556,0
109,Track Join: Distributed Joins with Minimal Network Traffic,20200119,Orestis Polychroniou,Inah Jeon,922,0.20177670577535006,0
110,Track Join: Distributed Joins with Minimal Network Traffic,20200119,Orestis Polychroniou,Yongming Luo,1344,0.11861504307305325,0
