,result
64,"('Adaptive Fault-Tolerance for Dynamic Resource Provisioning in Distributed Stream Processing Systems', 20200122, 'Paolo Bellavista', 'Robert Brunel', 1186, 0.11861504307305325, 1)"
65,"('Adaptive Fault-Tolerance for Dynamic Resource Provisioning in Distributed Stream Processing Systems', 20200122, 'Paolo Bellavista', 'R. Uday Kiran', 1165, 0.11554054054054053, 1)"
66,"('Fast Sort on CPUs and GPUs: A Case for Bandwidth Oblivious SIMD Sort', 20200123, 'Nadathur Satish', 'Zhao Sun', 1375, 0.2382352941176471, 2)"
67,"('Fast Sort on CPUs and GPUs: A Case for Bandwidth Oblivious SIMD Sort', 20200123, 'Nadathur Satish', 'Puya Memarzia', 1159, 0.19642857142857145, 1)"
68,"('Fast Sort on CPUs and GPUs: A Case for Bandwidth Oblivious SIMD Sort', 20200123, 'Nadathur Satish', 'Jiexing Li', 957, 0.15555555555555556, 1)"
69,"('Serializability, not Serial: Concurrency Control and Availability in Multi-Datacenter Datastores', 20200124, 'Stacy Patterson', 'Manish Kesarwani', 1045, 0.15555555555555556, 1)"
70,"('Serializability, not Serial: Concurrency Control and Availability in Multi-Datacenter Datastores', 20200124, 'Stacy Patterson', 'Aravind Yalamanchi', 729, 0.11554054054054053, 1)"
71,"('Serializability, not Serial: Concurrency Control and Availability in Multi-Datacenter Datastores', 20200124, 'Stacy Patterson', 'Arvind Arasu', 740, 0.11554054054054053, 2)"
72,"('Actively Soliciting Feedback for Query Answers in Keyword Search-Based Data Integration', 20200125, 'Zhepeng Yan', 'Nikolay Laptev', 1111, 0.15555555555555556, 1)"
73,"('Actively Soliciting Feedback for Query Answers in Keyword Search-Based Data Integration', 20200125, 'Zhepeng Yan', 'Mohammad Sadoghi', 1092, 0.1293070946107876, 1)"
74,"('Actively Soliciting Feedback for Query Answers in Keyword Search-Based Data Integration', 20200125, 'Zhepeng Yan', 'Lu Li ', 1030, 0.11861504307305325, 1)"
75,"('Data Generation using Declarative Constraints', 20200126, 'Arvind Arasu', 'Abdallah Arioua', 682, 0.15555555555555556, 1)"
76,"('Data Generation using Declarative Constraints', 20200126, 'Arvind Arasu', 'Zaiben Chen', 1370, 0.11861504307305325, 1)"
77,"('Data Generation using Declarative Constraints', 20200126, 'Arvind Arasu', 'El Kindi Rezig', 831, 0.11861504307305325, 1)"
78,"('Dependency-Aware Reordering for Parallelizing Query Optimization in Multi-Core CPUs', 20200127, 'Wook-Shin Han', 'Cristian Consonni', 789, 0.11861504307305325, 2)"
79,"('Dependency-Aware Reordering for Parallelizing Query Optimization in Multi-Core CPUs', 20200127, 'Wook-Shin Han', 'Miao Qiao', 1070, 0.11861504307305325, 1)"
80,"('Dependency-Aware Reordering for Parallelizing Query Optimization in Multi-Core CPUs', 20200127, 'Wook-Shin Han', 'R. Uday Kiran', 1165, 0.11554054054054053, 2)"
81,"('Hybrid Storage Management for Database Systems', 20200128, 'Xin Liu', 'Radu Stoica', 1168, 0.19642857142857145, 1)"
82,"('Hybrid Storage Management for Database Systems', 20200128, 'Xin Liu', 'Ioannis Alagiannis', 923, 0.19642857142857145, 1)"
83,"('Hybrid Storage Management for Database Systems', 20200128, 'Xin Liu', 'Khaled Elmeleegy', 996, 0.19642857142857145, 1)"
84,"('Efficient Indexing for Diverse Query Results', 20200129, 'Lu Li ', 'Paras Mehta ', 1135, 0.16408668730650156, 1)"
85,"('Efficient Indexing for Diverse Query Results', 20200129, 'Lu Li ', 'Miao Qiao', 1070, 0.12180451127819547, 2)"
86,"('Efficient Indexing for Diverse Query Results', 20200129, 'Lu Li ', 'Majed Sahli', 1042, 0.11861504307305325, 1)"
87,"('Hardware-Oblivious Parallelism for In-Memory Column-Stores', 20200130, 'Max Heimel ', 'Konstantinos Mamouras', 1002, 0.1254665687408196, 1)"
88,"('Hardware-Oblivious Parallelism for In-Memory Column-Stores', 20200130, 'Max Heimel ', 'Rakesh Pimplikar', 1174, 0.1254665687408196, 1)"
89,"('Hardware-Oblivious Parallelism for In-Memory Column-Stores', 20200130, 'Max Heimel ', 'El Kindi Rezig', 831, 0.08505325311334808, 2)"
90,"('SpatialHadoop: A MapReduce Framework for Spatial Data', 20200131, 'Ahmed Eldawy', 'Dimitris Tsirogiannis', 819, 0.15555555555555556, 1)"
91,"('SpatialHadoop: A MapReduce Framework for Spatial Data', 20200131, 'Ahmed Eldawy', 'Sudipto Das', 1236, 0.15555555555555556, 1)"
92,"('SpatialHadoop: A MapReduce Framework for Spatial Data', 20200131, 'Ahmed Eldawy', 'Victor Alvarez', 1277, 0.15555555555555556, 1)"
93,"('3-HOP: A High-Compression Indexing Scheme for Reachability Query', 20200201, 'Ruoming Jin', 'Xiaodong Li', 1308, 0.20177670577535006, 1)"
94,"('3-HOP: A High-Compression Indexing Scheme for Reachability Query', 20200201, 'Ruoming Jin', 'Alexandros Efentakis', 703, 0.11554054054054053, 2)"
95,"('3-HOP: A High-Compression Indexing Scheme for Reachability Query', 20200201, 'Ruoming Jin', 'Dimitris Bilidas', 816, 0.11554054054054053, 2)"
96,"('Optimizing Recursive Queries with Monotonic Aggregates in DeALS', 20200202, 'Alexander Shkapsky', 'Henrietta Dombrovskaya', 903, 0.19642857142857145, 1)"
97,"('Optimizing Recursive Queries with Monotonic Aggregates in DeALS', 20200202, 'Alexander Shkapsky', 'Ahmed Eldawy', 692, 0.15555555555555556, 1)"
98,"('Optimizing Recursive Queries with Monotonic Aggregates in DeALS', 20200202, 'Alexander Shkapsky', 'Robert Brunel', 1186, 0.11861504307305325, 2)"
99,"('Entity Resolution with Iterative Blocking', 20200203, 'Steven Euijong Whang', 'Chuan Lei', 785, 0.11554054054054053, 2)"
100,"('Entity Resolution with Iterative Blocking', 20200203, 'Steven Euijong Whang', 'Chen Jason Zhang', 769, 0.11554054054054053, 1)"
101,"('Entity Resolution with Iterative Blocking', 20200203, 'Steven Euijong Whang', 'Marios Meimaris', 1056, 0.07832594463128473, 1)"
102,"('Asynchronous View Maintenance for VLSD Databases', 20200204, 'Parag Agrawal', 'Kai Zheng', 980, 0.11554054054054053, 3)"
103,"('Asynchronous View Maintenance for VLSD Databases', 20200204, 'Parag Agrawal', 'Dritan Bleco', 826, 0.11554054054054053, 1)"
104,"('Asynchronous View Maintenance for VLSD Databases', 20200204, 'Parag Agrawal', 'Inah Jeon', 922, 0.07832594463128473, 1)"
105,"('Context-sensitive Ranking for Document Retrieval', 20200205, 'Liang Jeff Chen', 'Michael J. Franklin', 1075, 0.11554054054054053, 2)"
106,"('Context-sensitive Ranking for Document Retrieval', 20200205, 'Liang Jeff Chen', 'Iraklis Psaroudakis', 926, 0.11554054054054053, 1)"
107,"('Context-sensitive Ranking for Document Retrieval', 20200205, 'Liang Jeff Chen', 'Shi Gao', 1207, 0.11554054054054053, 1)"
108,"('Improving Company Recognition from Unstructured Text by using Dictionaries', 20200206, 'Michael Loster', 'Michael J. Franklin', 1075, 0.15974069235137256, 3)"
109,"('Improving Company Recognition from Unstructured Text by using Dictionaries', 20200206, 'Michael Loster', 'Meihui Zhang', 1067, 0.15974069235137256, 2)"
110,"('Improving Company Recognition from Unstructured Text by using Dictionaries', 20200206, 'Michael Loster', 'Rong Zhang', 1190, 0.15974069235137256, 1)"
111,"('Efficient Exact Edit Similarity Query Processing with the Asymmetric Signature Scheme', 20200207, 'Jianbin Qin', 'Lu Chen', 1029, 0.2382352941176471, 1)"
