,result
184,"('Query Optimization over Crowdsourced Data', 20200303, 'Hyunjung Park', 'Renata Borovica-Gajic', 1180, 0.11861504307305325, 1)"
185,"('Partial Results in Database Systems', 20200304, 'Willis Lang', 'Michael J. Franklin', 1075, 0.15555555555555556, 3)"
186,"('Partial Results in Database Systems', 20200304, 'Willis Lang', 'Jinsoo Lee', 962, 0.15555555555555556, 2)"
187,"('Partial Results in Database Systems', 20200304, 'Willis Lang', 'Manas Joglekar', 1043, 0.15555555555555556, 1)"
188,"('Automated Partitioning Design in Parallel Database Systems', 20200305, 'Rimma Nehme', 'Aravind Yalamanchi', 729, 0.19642857142857145, 2)"
189,"('Automated Partitioning Design in Parallel Database Systems', 20200305, 'Rimma Nehme', 'Alekh Jindal', 699, 0.19642857142857145, 2)"
190,"('Automated Partitioning Design in Parallel Database Systems', 20200305, 'Rimma Nehme', 'Stratos Idreos', 1234, 0.1642327847507107, 2)"
191,"('On Active Learning of Record Matching Packages', 20200306, 'Arvind Arasu', 'Jiannan Wang', 951, 0.25947203691237924, 1)"
192,"('On Active Learning of Record Matching Packages', 20200306, 'Arvind Arasu', 'Vasilis Verroios', 1274, 0.19642857142857145, 1)"
193,"('On Active Learning of Record Matching Packages', 20200306, 'Arvind Arasu', 'Nikolaus Augsten', 1110, 0.15555555555555556, 1)"
194,"('Performance Guarantees for Distributed Reachability Queries', 20200307, 'Wenfei Fan', 'Alexandros Efentakis', 703, 0.15555555555555556, 3)"
195,"('Performance Guarantees for Distributed Reachability Queries', 20200307, 'Wenfei Fan', 'Jinsoo Lee', 962, 0.15555555555555556, 3)"
196,"('Performance Guarantees for Distributed Reachability Queries', 20200307, 'Wenfei Fan', 'Feifei Li', 859, 0.15555555555555556, 1)"
197,"('SIEF: Efficiently Answering Distance Queries for Failure Prone Graphs', 20200308, 'Yongrui Qin ', 'Manoj K Agarwal', 1046, 0.15555555555555556, 1)"
198,"('SIEF: Efficiently Answering Distance Queries for Failure Prone Graphs', 20200308, 'Yongrui Qin ', 'Nguyen Thanh Tam', 1107, 0.15555555555555556, 2)"
199,"('SIEF: Efficiently Answering Distance Queries for Failure Prone Graphs', 20200308, 'Yongrui Qin ', 'Sayan Ranu', 1199, 0.11861504307305325, 1)"
200,"('A Parallel and Scalable Processor for JSON Data', 20200309, 'Christina Pavlopoulou', 'Jeff LeFevre', 933, 0.20177670577535006, 1)"
201,"('A Parallel and Scalable Processor for JSON Data', 20200309, 'Christina Pavlopoulou', 'Vijay Ingalalli', 1279, 0.19642857142857145, 2)"
202,"('A Parallel and Scalable Processor for JSON Data', 20200309, 'Christina Pavlopoulou', 'An Liu', 712, 0.19642857142857145, 2)"
203,"('PODS: A New Model and Processing Algorithms for Uncertain Data Streams', 20200310, 'Thanh T. L. Tran', 'Haiquan Chen', 891, 0.19642857142857145, 3)"
204,"('PODS: A New Model and Processing Algorithms for Uncertain Data Streams', 20200310, 'Thanh T. L. Tran', 'Iraklis Psaroudakis', 926, 0.19642857142857145, 3)"
205,"('PODS: A New Model and Processing Algorithms for Uncertain Data Streams', 20200310, 'Thanh T. L. Tran', 'Zsolt Istv?n', 1386, 0.15555555555555556, 2)"
206,"('Keyword-aware Optimal Route Search', 20200311, 'Xin Cao', 'Long Yuan', 1027, 0.15555555555555556, 3)"
207,"('Keyword-aware Optimal Route Search', 20200311, 'Xin Cao', 'Hoang Vu Nguyen', 907, 0.15555555555555556, 1)"
208,"('Keyword-aware Optimal Route Search', 20200311, 'Xin Cao', 'Yufei Tao', 1359, 0.15555555555555556, 1)"
209,"('PerfXplain: Debugging MapReduce Job Performance', 20200312, 'Nodira Khoussainova', 'Wolfgang Gatterbauer', 1301, 0.15555555555555556, 1)"
210,"('PerfXplain: Debugging MapReduce Job Performance', 20200312, 'Nodira Khoussainova', 'Ahmed Eldawy', 692, 0.15555555555555556, 2)"
211,"('PerfXplain: Debugging MapReduce Job Performance', 20200312, 'Nodira Khoussainova', 'Vasilis Samoladas', 1273, 0.15555555555555556, 2)"
212,"('RQL: Retrospective Computations over Snapshot Sets', 20200313, 'Nikos Tsikoudis', 'Dan R. K. Ports', 794, 0.11554054054054053, 2)"
213,"('RQL: Retrospective Computations over Snapshot Sets', 20200313, 'Nikos Tsikoudis', 'Prasang Upadhyaya', 1157, 0.11554054054054053, 3)"
214,"('RQL: Retrospective Computations over Snapshot Sets', 20200313, 'Nikos Tsikoudis', 'Feifei Li', 859, 0.11554054054054053, 2)"
215,"('Ranking with Uncertain Scoring Functions: Semantics and Sensitivity Measures', 20200314, 'Mohamed A. Soliman', 'Stratos Idreos', 1234, 0.12191408436135236, 3)"
216,"('Ranking with Uncertain Scoring Functions: Semantics and Sensitivity Measures', 20200314, 'Mohamed A. Soliman', 'Marius Eich', 1057, 0.11861504307305325, 1)"
217,"('Ranking with Uncertain Scoring Functions: Semantics and Sensitivity Measures', 20200314, 'Mohamed A. Soliman', 'Manish Kesarwani', 1045, 0.11554054054054053, 2)"
218,"('SpatioTextual Similarity Joins', 20200315, 'Panagiotis Bouros', 'Damian Bursztyn', 792, 0.19642857142857145, 1)"
219,"('SpatioTextual Similarity Joins', 20200315, 'Panagiotis Bouros', 'Manish Kesarwani', 1045, 0.15555555555555556, 3)"
220,"('SpatioTextual Similarity Joins', 20200315, 'Panagiotis Bouros', 'Yanif Ahmad', 1326, 0.15555555555555556, 2)"
221,"('Efficient Metric Indexing for Similarity Search ', 20200316, 'Lu Chen', 'Gheorghi Guzun', 881, 0.244805843721864, 2)"
222,"('Efficient Metric Indexing for Similarity Search ', 20200316, 'Lu Chen', 'Jinbao Wang', 959, 0.19642857142857145, 2)"
223,"('Efficient Metric Indexing for Similarity Search ', 20200316, 'Lu Chen', 'Sayan Ranu', 1199, 0.15974069235137256, 2)"
224,"('Indexing Multi-dimensional Data in a Cloud System', 20200317, 'Jinbao Wang', 'Fangjin Yang ', 854, 0.20751914493125825, 2)"
225,"('Indexing Multi-dimensional Data in a Cloud System', 20200317, 'Jinbao Wang', 'Kai Zheng', 980, 0.19642857142857145, 1)"
226,"('Indexing Multi-dimensional Data in a Cloud System', 20200317, 'Jinbao Wang', 'Parth Nagarkar', 1136, 0.19642857142857145, 2)"
227,"('Online Data Partitioning in Distributed Database Systems', 20200318, 'Kaiji Chen', 'Andrew Pavlo', 716, 0.15555555555555556, 1)"
228,"('Online Data Partitioning in Distributed Database Systems', 20200318, 'Kaiji Chen', 'Danica Porobic', 796, 0.11554054054054053, 1)"
229,"('Online Data Partitioning in Distributed Database Systems', 20200318, 'Kaiji Chen', 'Jennie Duggan ', 939, 0.11554054054054053, 3)"
230,"('Real Time Discovery of Dense Clusters in Highly Dynamic Graphs:  Identifying Real World Events in Highly Dynamic Environments', 20200319, 'Manoj K Agarwal', 'Shiwen Cheng', 1211, 0.11554054054054053, 2)"
231,"('Real Time Discovery of Dense Clusters in Highly Dynamic Graphs:  Identifying Real World Events in Highly Dynamic Environments', 20200319, 'Manoj K Agarwal', 'Nguyen Thanh Tam', 1107, 0.11554054054054053, 3)"
232,"('Real Time Discovery of Dense Clusters in Highly Dynamic Graphs:  Identifying Real World Events in Highly Dynamic Environments', 20200319, 'Manoj K Agarwal', 'Hyun Jin Moon', 918, 0.07832594463128473, 2)"
233,"('Towards Proximity Pattern Mining in Large Graphs', 20200320, 'Arijit Khan', 'Xiaodong Li', 1308, 0.15974069235137256, 1)"
234,"('Towards Proximity Pattern Mining in Large Graphs', 20200320, 'Arijit Khan', 'Tuan-Anh Nguyen Pham', 1267, 0.15555555555555556, 2)"
235,"('Towards Proximity Pattern Mining in Large Graphs', 20200320, 'Arijit Khan', 'Arko Provo Mukherjee', 734, 0.15555555555555556, 1)"
236,"('K-Nearest Neighbor Temporal Aggregate Queries', 20200321, 'Yu Sun', 'Shiwen Cheng', 1211, 0.19642857142857145, 3)"
237,"('K-Nearest Neighbor Temporal Aggregate Queries', 20200321, 'Yu Sun', 'Rong Zhang', 1190, 0.19642857142857145, 3)"
238,"('K-Nearest Neighbor Temporal Aggregate Queries', 20200321, 'Yu Sun', 'Wei Feng', 1289, 0.19642857142857145, 1)"
239,"('Discovering Linkage Points over Web Data', 20200322, 'Oktie Hassanzadeh ', 'Yaser Oulabi', 1332, 0.15555555555555556, 1)"
240,"('Discovering Linkage Points over Web Data', 20200322, 'Oktie Hassanzadeh ', 'Vasilis Efthymiou', 1272, 0.15555555555555556, 1)"
241,"('Discovering Linkage Points over Web Data', 20200322, 'Oktie Hassanzadeh ', 'Robert Brunel', 1186, 0.11861504307305325, 2)"
242,"('Refinement Driven Processing of Aggregation Constrained Queries', 20200323, 'Manasi Vartak', 'Wolfgang Gatterbauer', 1301, 0.11554054054054053, 2)"
243,"('Refinement Driven Processing of Aggregation Constrained Queries', 20200323, 'Manasi Vartak', 'Rakesh Pimplikar', 1174, 0.07631578947368423, 2)"
244,"('Refinement Driven Processing of Aggregation Constrained Queries', 20200323, 'Manasi Vartak', 'Olga Poppe', 1122, 0.07631578947368423, 1)"
245,"('Explore-by-Example: An Automatic Query Steering Framework for Interactive Data Exploration', 20200324, 'Kyriaki Dimitriadou', 'Wei Feng', 1289, 0.19642857142857145, 2)"
246,"('Explore-by-Example: An Automatic Query Steering Framework for Interactive Data Exploration', 20200324, 'Kyriaki Dimitriadou', 'Gheorghi Guzun', 881, 0.15974069235137256, 3)"
247,"('Subgraph Querying with Parallel Use of Query Rewritings and Alternative Algorithms', 20200325, 'Foteini Katsarou', 'Yun Chi', 1361, 0.15555555555555556, 1)"
248,"('Subgraph Querying with Parallel Use of Query Rewritings and Alternative Algorithms', 20200325, 'Foteini Katsarou', 'Zitong Chen', 1384, 0.11554054054054053, 1)"
249,"('Subgraph Querying with Parallel Use of Query Rewritings and Alternative Algorithms', 20200325, 'Foteini Katsarou', 'Thomas Neumann', 1256, 0.11554054054054053, 1)"
250,"('WHAM: A High-throughput Sequence Alignment Method', 20200326, 'Yinan Li', 'Nathalie Charbel', 1104, 0.15555555555555556, 2)"
251,"('WHAM: A High-throughput Sequence Alignment Method', 20200326, 'Yinan Li', 'Yaser Oulabi', 1332, 0.11554054054054053, 2)"
252,"('WHAM: A High-throughput Sequence Alignment Method', 20200326, 'Yinan Li', 'Marco D. Adelfio', 1051, 0.11554054054054053, 3)"
253,"('Learning Path Queries on Graph Databases', 20200327, 'Angela Bonifati', 'Parth Nagarkar', 1136, 0.15555555555555556, 3)"
254,"('Learning Path Queries on Graph Databases', 20200327, 'Angela Bonifati', 'Konstantinos Mamouras', 1002, 0.15555555555555556, 1)"
255,"('Learning Path Queries on Graph Databases', 20200327, 'Angela Bonifati', 'Guanfeng Liu', 887, 0.15555555555555556, 1)"
256,"('Accelerating Pathology Image Data Cross-Comparison on CPU-GPU Hybrid Systems', 20200328, 'Kaibo Wang', 'Zsolt Istv?n', 1386, 0.19642857142857145, 3)"
257,"('Accelerating Pathology Image Data Cross-Comparison on CPU-GPU Hybrid Systems', 20200328, 'Kaibo Wang', 'Huiqi Hu', 916, 0.1254665687408196, 1)"
258,"('Accelerating Pathology Image Data Cross-Comparison on CPU-GPU Hybrid Systems', 20200328, 'Kaibo Wang', 'Jiajun Liu', 947, 0.11861504307305325, 1)"
259,"('Data-driven Schema Normalization', 20200329, 'Thorsten Papenbrock', 'Willis Lang', 1300, 0.11861504307305325, 2)"
260,"('Data-driven Schema Normalization', 20200329, 'Thorsten Papenbrock', 'Philipp Schirmer', 1150, 0.11861504307305325, 1)"
261,"('Data-driven Schema Normalization', 20200329, 'Thorsten Papenbrock', 'Victor Alvarez', 1277, 0.11861504307305325, 1)"
262,"('A Software-Defined Networking based Approach for Performance Management of Analytical Queries on Distributed Data Stores', 20200330, 'Pengcheng Xiong', 'Philipp Rosch', 1149, 0.19642857142857145, 1)"
263,"('A Software-Defined Networking based Approach for Performance Management of Analytical Queries on Distributed Data Stores', 20200330, 'Pengcheng Xiong', 'Dimitris Bilidas', 816, 0.15555555555555556, 1)"
264,"('A Software-Defined Networking based Approach for Performance Management of Analytical Queries on Distributed Data Stores', 20200330, 'Pengcheng Xiong', 'Damian Bursztyn', 792, 0.15555555555555556, 2)"
265,"('ReStore: Reusing Results of MapReduce Jobs', 20200331, 'Iman Elghandour', 'Manas Joglekar', 1043, 0.15555555555555556, 2)"
266,"('ReStore: Reusing Results of MapReduce Jobs', 20200331, 'Iman Elghandour', 'Khaled Elmeleegy', 996, 0.15555555555555556, 1)"
267,"('ReStore: Reusing Results of MapReduce Jobs', 20200331, 'Iman Elghandour', 'Fabian M. Suchanek', 850, 0.1254665687408196, 1)"
268,"('Contender: A Resource Modeling Approach for Concurrent Query Performance Prediction', 20200401, 'Jennie Duggan', 'Yun Chi', 1361, 0.19642857142857145, 2)"
269,"('Contender: A Resource Modeling Approach for Concurrent Query Performance Prediction', 20200401, 'Jennie Duggan', 'Khai Q. Tran', 995, 0.11554054054054053, 1)"
270,"('Contender: A Resource Modeling Approach for Concurrent Query Performance Prediction', 20200401, 'Jennie Duggan', 'Karl Schnaitter', 984, 0.11554054054054053, 1)"
271,"('Umzi: Unified Multi-Zone Indexing for Large-Scale HTAP', 20200402, 'Chen Luo', 'Fangjin Yang ', 854, 0.1642327847507107, 3)"
272,"('Umzi: Unified Multi-Zone Indexing for Large-Scale HTAP', 20200402, 'Chen Luo', 'Mingjie Tang', 1081, 0.15974069235137256, 3)"
273,"('Umzi: Unified Multi-Zone Indexing for Large-Scale HTAP', 20200402, 'Chen Luo', 'Ioannis Alagiannis', 923, 0.15555555555555556, 3)"
274,"('Differentially Private Synthesization of Multi-Dimensional Data using Copula Functions', 20200403, 'Haoran Li', 'Chen Zeng', 771, 0.15555555555555556, 1)"
275,"('Differentially Private Synthesization of Multi-Dimensional Data using Copula Functions', 20200403, 'Haoran Li', 'Jiajun Liu', 947, 0.11861504307305325, 2)"
276,"('Differentially Private Synthesization of Multi-Dimensional Data using Copula Functions', 20200403, 'Haoran Li', 'Sudeepa Roy', 1235, 0.11554054054054053, 2)"
277,"('Similarity Joins for Uncertain Strings', 20200404, 'Manish Patil', 'Feifei Li', 859, 0.19642857142857145, 3)"
278,"('Similarity Joins for Uncertain Strings', 20200404, 'Manish Patil', 'Nikolaus Augsten', 1110, 0.15555555555555556, 2)"
279,"('Similarity Joins for Uncertain Strings', 20200404, 'Manish Patil', 'Michael T. Goodrich', 1078, 0.15555555555555556, 1)"
280,"('Reducing Uncertainty of Schema Matching via Crowdsourcing', 20200405, 'Chen Jason Zhang', 'Yongming Luo', 1344, 0.11861504307305325, 1)"
281,"('Reducing Uncertainty of Schema Matching via Crowdsourcing', 20200405, 'Chen Jason Zhang', 'Arvind Arasu', 740, 0.11554054054054053, 1)"
282,"('Reducing Uncertainty of Schema Matching via Crowdsourcing', 20200405, 'Chen Jason Zhang', 'Jeffrey Pound', 936, 0.11554054054054053, 1)"
283,"('View Selection in Semantic Web Databases', 20200406, 'FrancÂ¸ois Goasdoue', 'Souripriya Das', 1220, 0.2382352941176471, 1)"
284,"('View Selection in Semantic Web Databases', 20200406, 'FrancÂ¸ois Goasdoue', 'Wai Kit Wong', 1286, 0.19642857142857145, 1)"
285,"('View Selection in Semantic Web Databases', 20200406, 'FrancÂ¸ois Goasdoue', 'Sumeet Bajaj', 1239, 0.15555555555555556, 2)"
286,"('Assessing and Ranking Structural Correlations in Graphs', 20200407, 'Ziyu Guan', 'Zhe Fan', 1376, 0.11554054054054053, 2)"
287,"('Assessing and Ranking Structural Correlations in Graphs', 20200407, 'Ziyu Guan', 'Robert Brunel', 1186, 0.07832594463128473, 3)"
288,"('Assessing and Ranking Structural Correlations in Graphs', 20200407, 'Ziyu Guan', 'Alberto Cordioli', 698, 0.07832594463128473, 1)"
289,"('Zephyr: Live Migration in Shared Nothing Databases for Elastic Cloud Platforms', 20200408, 'Aaron J. Elmore', 'Victor Zakhary', 1278, 0.15555555555555556, 1)"
290,"('Zephyr: Live Migration in Shared Nothing Databases for Elastic Cloud Platforms', 20200408, 'Aaron J. Elmore', 'Chen Zeng', 771, 0.15555555555555556, 2)"
291,"('Zephyr: Live Migration in Shared Nothing Databases for Elastic Cloud Platforms', 20200408, 'Aaron J. Elmore', 'Willis Lang', 1300, 0.15555555555555556, 3)"
292,"('Context-aware Event Stream Analytics', 20200409, 'Olga Poppe', 'Nikos Bikakis', 1112, 0.08040935672514621, 2)"
293,"('Context-aware Event Stream Analytics', 20200409, 'Olga Poppe', 'Emre Sefer', 836, 0.07832594463128473, 1)"
294,"('Context-aware Event Stream Analytics', 20200409, 'Olga Poppe', 'Muhammad Farhan', 1099, 0.07832594463128473, 1)"
295,"('Keyword Search over Relational Databases: A Metadata Approach', 20200410, 'Sonia Bergamaschi', 'Kai Zheng', 980, 0.2382352941176471, 2)"
296,"('Keyword Search over Relational Databases: A Metadata Approach', 20200410, 'Sonia Bergamaschi', 'Jeffrey Pound', 936, 0.19642857142857145, 2)"
