reviewer_orcid,reviewer_name,reviewer_coauthor1_name,reviewer_coauthor1_id,reviewer_coauthor2_name,reviewer_coauthor2_id,reviewer_coauthor3_name,reviewer_coauthor3_id,reviewer_coauthor4_name,reviewer_coauthor4_id,reviewer_coauthor5_name,reviewer_coauthor5_id,reviewer_coauthor6_name,reviewer_coauthor6_id,reviewer_coauthor7_name,reviewer_coauthor7_id,reviewer_coauthor8_name,reviewer_coauthor8_id,reviewer_coauthor9_name,reviewer_coauthor9_id,reviewer_coauthor10_name,reviewer_coauthor10_id,reviewer_coauthor_title_doi,reviewer_coauthor_title
1358,Yudian Zheng,Reynold Cheng,1182, Silviu Maniu,518, Luyi Mo ,351,,,,,,,,,,,,,,,,On Optimality of Jury Selection in Crowdsourcing
803,David Broneske,Sebastian Bress,1200, Max Heimel,380, Gunter Saake ,211,,,,,,,,,,,,,,,,Toward Hardware-Sensitive Database Operations
1127,Pablo Barrio,Goncalo Simoes ,883, Helena Galhardas,225, Luis Gravano ,348,,,,,,,,,,,,,,,,Learning to Rank Adaptively for Scalable Information Extraction
698,Alberto Cordioli,Themis Palpanas ,1251,,,,,,,,,,,,,,,,,,,,An Automated System for Internet Pharmacy Verification
682,Abdallah Arioua,Angela Bonifati¡ËO ,720,,,,,,,,,,,,,,,,,,,,User-guided Repairing of Inconsistent Knowledge Bases
881,Gheorghi Guzun,Guadalupe Canahuate ,886,,,,,,,,,,,,,,,,,,,,Distributed query-aware quantization for high-dimensional similarity searches
971,Julia Stoyanovich,Ke Yang,989, HV Jagadish ,235,,,,,,,,,,,,,,,,,,Online Set Selection with Fairness and Diversity Constraints
1272,Vasilis Efthymiou,George Papadakis,876, Kostas Stefanidis,330, Vassilis Christophides ,581,,,,,,,,,,,,,,,,"MinoanER: Schema-Agnostic, Non-Iterative, Massively Parallel Resolution of Web Entities"
1165,R. Uday Kiran,Haichuan Shang,890, Masashi Toyoda,376, Masaru Kitsuregawa ,375,,,,,,,,,,,,,,,,Discovering Recurring Patterns in Time Series
1350,Yu Sun, Jianzhong Qi,279, Yu Zheng,663, Rui Zhang ,489,,,,,,,,,,,,,,,,K-Nearest Neighbor Temporal Aggregate Queries
1097,Mostafa Ead,Herodotos Herodotou,904, Ashraf Aboulnaga,58, Shivnath Babu ,512,,,,,,,,,,,,,,,,PStorM: Profile Storage and Matching for Feedback-Based Tuning of MapReduce Jobs
1013,Laura B. Kassner,Bernhard Mitschang ,749,,,,,,,,,,,,,,,,,,,,Exploring Text Classification for Messy Data: An Industry Use Case for Domain-Specific Analytics
1286,Wai Kit Wong,Kwok Wai Wong,1009, Ho-Yin Yue ,227,,,,,,,,,,,,,,,,,,Optimizing Selection Processing for Encrypted Database using Past Result Knowledge Base
1202,Sebastian Kruse,Paolo Papotti,1133, Felix Naumann ,175,,,,,,,,,,,,,,,,,,Estimating Data Integration and Cleaning Effort
866,Foteini Katsarou,Nikos Ntarmos,1114, Peter Triantafillou ,445,,,,,,,,,,,,,,,,,,Subgraph Querying with Parallel Use of Query Rewritings and Alternative Algorithms
1242,Sutanay Choudhury,Lawrence Holder,1014, George Chin,194, Khushbu Agarwal,323, John Feo ,294,,,,,,,,,,,,,,A Selectivity based approach to Continuous Pattern Detection in Streaming Graphs
